(no genres listed),Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,year,tag_count,rating_count,time,star_level,Users_reviews,Critic reviews,Director_stars,Budget,Gross US/Canada,Opening Weekend,Gross Worldwide,Sentiment,rating
0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,0.0,0.0,3600.0,8.3,778,168,6.9,0.0035948654446154894,3.502519853182213,1.2932161826726705,2.3687728671219235,0.0,3.9209302325581397
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,3.0,215.0,3600.0,7.1,324,78,6.7,1.129787809218554,1.1985396720679422,0.106011349089337,1.408273518803785,0.0,3.4318181818181817
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,4.0,110.0,3600.0,6.6,71,26,7.1,-0.15728984080880432,0.6544593755279324,-0.11012226499351367,0.012176411423196675,0.0,3.2596153846153846
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1995,0.0,52.0,7200.0,6.0,64,19,7.3,-0.44688231206496,0.5706108279141414,0.30606058284498994,0.08467037408536517,0.0,2.357142857142857
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,2.0,7.0,3600.0,6.1,81,33,5.9,0.0035948654446154894,0.749745752440149,0.10933884356911375,0.04921723083413775,0.0,3.0714285714285716
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1995,0.0,49.0,7200.0,8.3,1300,204,7.1,0.9689031029651344,0.5778322439891164,-0.06748505995092548,0.8581268386699996,0.0,3.946078431372549
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,0.0,102.0,7200.0,6.3,173,40,7.0,0.9045492204637665,0.3194212227262459,-0.25700371522331406,-0.1178868909396668,0.0,3.185185185185185
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,0.0,54.0,3600.0,5.5,32,12,5.5,1.1986844707535193e-16,-0.23912576696332188,-0.4117012401109444,-0.3351883112570607,0.0,2.875
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,0.0,8.0,3600.0,5.8,148,69,5.9,0.16447957169803532,-0.30614451888964495,-0.3083425208416431,-0.04013674994433122,0.0,3.125
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1995,0.0,16.0,7200.0,7.2,560,100,6.3,0.9689031029651344,1.309865991137716,1.1001987532192758,2.060494534121696,0.0,3.496212121212121
